City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,aripuana,-9.1667,-60.6333,30.66,66,37,0.34,BR,1714062116
234,erenhot,43.6475,111.9767,11.22,35,50,7.16,CN,1714062117
235,uturoa,-16.7333,-151.4333,27.99,76,91,2.85,PF,1714062118
236,saint-francois,46.4154,3.9054,11.9,60,0,2.06,FR,1714061954
237,nantucket,41.2835,-70.0995,8.08,57,0,5.14,US,1714061918
238,vila do maio,15.1333,-23.2167,28.44,78,51,4.87,CV,1714062123
239,kokopo,-4.352,152.2633,25.75,86,79,2.51,PG,1714062124
240,plymouth,41.8334,-70.8328,11.57,41,0,3.09,US,1714062126
241,kaduna,10.5222,7.4383,35.47,26,97,3.2,NG,1714062055
242,dakhla,23.6848,-15.958,22.01,68,100,7.72,EH,1714062128
243,awjilah,29.1081,21.2869,28.71,17,100,7.34,LY,1714062129
244,ksar chellala,35.2122,2.3189,23.32,19,100,9.79,DZ,1714062130
245,sisimiut,66.9395,-53.6735,0.18,95,100,3.2,GL,1714062131
246,bima,-8.4667,118.7167,24.52,94,46,1.12,ID,1714062212
247,san jose del guaviare,2.5729,-72.6459,24.12,96,100,0.49,CO,1714062213
248,colonia,50.9333,6.95,12.69,47,20,6.17,DE,1714061974
249,dolores,-36.3132,-57.6792,15.12,74,91,3.42,AR,1714062214
250,san lawrenz,36.0553,14.204,16.67,67,20,9.19,MT,1714062217
251,melchor de mencos,17.0686,-89.1522,32.0,51,20,5.14,GT,1714062218
252,vilhena,-12.7406,-60.1458,29.12,65,75,0.51,BR,1714062219
253,saudarkrokur,65.7461,-19.6394,4.65,86,81,3.15,IS,1714062220
254,songyang,34.4553,113.0281,19.34,67,2,2.24,CN,1714062222
255,pandan,14.0453,124.1694,25.53,87,35,2.63,PH,1714062223
256,port mathurin,-19.6833,63.4167,26.82,76,100,9.15,MU,1714062224
257,mili,6.0815,171.735,27.92,81,73,9.81,MH,1714062225
258,itacare,-14.2775,-38.9967,28.08,77,91,3.63,BR,1714062227
259,klyuchi,52.2667,79.1667,3.99,55,49,3.18,RU,1714062228
260,puerto san jose,13.9256,-90.8244,31.99,57,0,1.71,GT,1714062229
261,archangelos,36.2149,28.1149,18.5,60,100,5.4,GR,1714062230
262,brisas de zicatela,15.8369,-97.0419,32.29,48,0,3.09,MX,1714062232
263,port blair,11.6667,92.75,30.02,79,40,1.03,IN,1714062023
264,bastia,42.6667,9.3333,15.89,82,100,1.54,FR,1714062234
265,susuman,62.7833,148.1667,-1.68,90,100,1.34,RU,1714062235
266,galliano,29.4422,-90.2992,27.78,61,75,3.09,US,1714062237
267,karratha,-20.7377,116.8463,25.76,73,39,1.5,AU,1714062238
268,imeko,7.45,2.85,35.73,39,100,0.97,NG,1714062239
